,Garda Station,Theft,Assault & Kidnapping,Fraud & Drugs & Weapons,Environment & Public Order,TotalCrime,PopulationTotalMale,PopulationTotalFemale,PopulationTotal,PrincipalStatusAtWork,PrincipalStatusLookingForFirstJob,PrincipalStatusUnemployed,PrincipalStatusStudent,PrincipalStatusLookingAfterHome/Family,PrincipalStatusRetired,PrincipalStatusUnableToWork,PrincipalStatusOther,SocialClassProfessionalWorkers,SocialClassManagerialAndTechnical,SocialClassNonManual,SocialClassSkilledManual,SocialClassSemiSkilled,SocialClassUnskilled,SocialClassOther,AgeEducationCeasedUnder15,AgeEducationCeasedAge15,AgeEducationCeasedAge16,AgeEducationCeasedAge17,AgeEducationCeasedAge18,AgeEducationCeasedAge19,AgeEducationCeasedAge20,AgeEducationCeasedAge21+,AgeEducationCeasedNotStated,EducationNotCeasedStillAtSchool,EducationNotCeasedOther,HighestLevelEducationNoFormalEducation,HighestLevelEducationPrimary,HighestLevelEducationLowerSecondary,HighestLevelEducationUpperSecondary,HighestLevelEducationTechnicalQualification,HighestLevelEducationAdvCert/Apprenticeship,HighestLevelEducationHigherCertificate,HighestLevelEducationOrdinaryBachelorDegree,HighestLevelEducationHonoursBachelorDegree,HighestLevelEducationPostgraduateDegree,HighestLevelEducationDoctorate,HighestLevelEducationNotStated,GeneralHealthVeryGood,GeneralHealthGood,GeneralHealthFair,GeneralHealthBad,GeneralHealthVeryBad,GeneralHealthNotStated,Total_Under18Male,Total_Under18Female,Total_Under18,Green,Area,PopulationDensity,GreensPerKMSQ,GreensPerPerson,TotalCrimePerCap
10,Donnybrook,0.010418844518781795,0.0035542546518921173,0.002683113805840128,0.015924454665830368,0.032580667642344414,0.470659976304969,0.5293400236950311,28698,0.4698585267266012,0.004495086765628267,0.03968917694612865,0.17562199456408112,0.04819151160359607,0.12373684577322462,0.01944386368388041,0.0027528050735242874,0.20886472924942506,0.3402327688340651,0.1189978395707018,0.04529932399470346,0.0351592445466583,0.010349153251097636,0.24109694055334865,0.01853787720398634,0.010279461983413478,0.0206634608683532,0.025541849606244338,0.049132343717332216,0.018015192696355143,0.02251027946198341,0.32800195135549515,0.1700466931493484,0.17562199456408112,0.04543870653007178,0.004669314934838665,0.0320928287685553,0.03292912398076521,0.080563105442888,0.025472158338560175,0.01578507213046205,0.02515854763398146,0.06732176458289776,0.15182242664994075,0.1590703184890933,0.023311729040351243,0.044532720050177714,0.6382674750853718,0.23642762561851002,0.06456895950937347,0.01191720677399122,0.0042860129625757895,0.044532720050177714,0.07965711896299392,0.07516203219736567,0.1548191511603596,5,8.219549164,3491.432367810581,0.6083058693655622,0.00017422816921039793,0.01665621297651404
11,Dun Laoghaire,0.010049449672994098,0.004519593768277768,0.0053171691391503155,0.032301802520338166,0.05218801510076036,0.469931408518105,0.530068591481895,37614,0.4026692189078535,0.0046791088424522785,0.05420853937363748,0.10325942468229916,0.07874727495081618,0.16448662731961505,0.02639974477588132,0.0014356356675705856,0.1434306375285798,0.3959164141011325,0.15698941883341308,0.08228319242835115,0.06011059711809433,0.02182697931621205,0.13944276067421704,0.03703408305418195,0.022465039612910086,0.04088903068006594,0.045621311213909714,0.08042218322964853,0.024405806348699956,0.024645078959961715,0.2462646886797469,0.17645025788270324,0.10325942468229916,0.0344286701759983,0.0058754718987611,0.06388578720689105,0.07082469293348223,0.12899452331578667,0.04538203860264795,0.024964109108310737,0.0310788536183336,0.06909661296325836,0.10405700005317167,0.11094273408837137,0.01464880097835912,0.028446854894454195,0.6154357420109534,0.2677992236933057,0.07810921465411813,0.013346094539267292,0.003296644866273196,0.02201308023608231,0.10650289785718084,0.10570532248630828,0.21220822034348916,22,11.2395141,3346.585952501274,1.9573799902969116,0.0005848886053065348,0.019886212580422183
12,Finglas,0.009477402850529906,0.008137410159580949,0.012035570715068828,0.027019125350225364,0.056669509075405036,0.4807406505055427,0.5192593494944573,41045,0.3835302716530637,0.009599220367888902,0.10537215251553174,0.06865635278353027,0.07326105493970032,0.10261907662321842,0.03985869167986356,0.004214886100621268,0.033036910707759784,0.19934218540626145,0.1830430015836277,0.17568522353514435,0.12856620782068462,0.053039347058106964,0.22728712388841515,0.08610062126933853,0.045145571933244,0.06307711048848824,0.05532951638445609,0.07136070166889999,0.02458277500304544,0.017858448044828848,0.08666098184918991,0.2095748568644171,0.06865635278353027,0.05876477037397977,0.011767572176879034,0.1414545011572664,0.13000365452552076,0.1222560604214886,0.05886222438786697,0.031550736995980024,0.019710074308685592,0.03011329029114387,0.03985869167986356,0.028286027530758925,0.0019247167742721407,0.043903033256182236,0.5565842368132538,0.29306858326227314,0.09772201242538676,0.017322450968449258,0.003776343038128883,0.031526373492508225,0.1355341698136192,0.1257156779144841,0.2612498477281033,10,38.18989241,1074.7608178454147,0.2618493891693056,0.00024363503471799242,0.029650383725179683
13,Fitzgibbon Street,0.02002276490066225,0.010399420529801324,0.008743791390728476,0.0408216059602649,0.07998758278145696,0.5084850993377483,0.4915149006622517,19328,0.42684188741721857,0.02224751655629139,0.13131208609271522,0.13100165562913907,0.04459850993377484,0.07145074503311258,0.041649420529801334,0.002690397350993377,0.05080711920529801,0.16783940397350994,0.1232408940397351,0.1169805463576159,0.11149627483443708,0.0677773178807947,0.3618584437086093,0.06694950331125828,0.031456953642384114,0.036165149006622516,0.03037044701986755,0.05360099337748345,0.02173013245033113,0.01960885761589404,0.15511175496688742,0.2240273178807947,0.13100165562913907,0.1017694536423841,0.012003311258278145,0.10394246688741722,0.08169495033112582,0.0972682119205298,0.04558153973509934,0.022816639072847682,0.025662251655629142,0.04444329470198676,0.0615169701986755,0.0597578642384106,0.005949917218543046,0.07838369205298014,0.4989134933774834,0.3093439569536424,0.09468129139072848,0.020591887417218544,0.005018625827814569,0.07145074503311258,0.07817673841059603,0.08138451986754967,0.15956125827814568,1,1.874714835,10309.834668801775,0.533414459271615,5.173841059602649e-05,0.03916597682119205
14,Howth,0.006830992643546385,0.003296073373459444,0.004203687780643928,0.011942294831374795,0.026273048629024555,0.4798414063246394,0.5201585936753607,20934,0.4061813318047196,0.0046336103945734215,0.0531193274099551,0.09238559281551544,0.0879908283175695,0.15515429444922135,0.0235979745867966,0.0024839973249259576,0.11459826120187255,0.40173879812744817,0.17555173402120952,0.11216203305627208,0.06381962357886692,0.014044138721696759,0.118085411292634,0.03749880577051686,0.025747587656444058,0.04939333142256616,0.0530237890513041,0.09166905512563296,0.026129741091048056,0.02321582115219261,0.19055125632941627,0.20359224228527756,0.09238559281551544,0.03233973440336295,0.005063533008502914,0.06788000382153435,0.08550683099264354,0.15472437183529186,0.05092194516098213,0.03133658163752747,0.03281742619661794,0.06558708321391038,0.09214674691888794,0.0821152192605331,0.008980605713193847,0.023741282124773097,0.6319384732970288,0.267364096684819,0.07170153816757427,0.011225757141492309,0.001910767173019968,0.015859367536065733,0.1122098022355976,0.10848380624820864,0.22069360848380626,5,14.48751222,1444.968582742635,0.34512481674372664,0.00023884589662749594,0.014330753797649757
15,Irishtown,0.010393341501542102,0.002872956187418142,0.003422197811483375,0.016308251299167686,0.032996746799611315,0.4741222696353881,0.5258777303646119,23669,0.5590012252313152,0.00481642654949512,0.049938738434238884,0.08711817144788543,0.04837551227343783,0.10515864633064344,0.018124973594152688,0.0029997042545101193,0.19176982551016095,0.366808906164181,0.14964721787992732,0.07427436731589843,0.05150196459503992,0.02387088596898897,0.14212683256580338,0.031053276437534326,0.01774472939287676,0.02716633571338037,0.029532299632430606,0.047319278381004685,0.01846296843973129,0.023828636613291647,0.33410790485445097,0.2052896193333052,0.08711817144788543,0.05391017786978749,0.005661413663441633,0.054163674003971436,0.051797710084921206,0.08703367273649076,0.034348726181925734,0.01858971650682327,0.025476361485487348,0.0646415142169082,0.1621107778106384,0.17182812962102328,0.02082893235878153,0.038024420127593064,0.649795090624868,0.2474544763192361,0.060839072204148886,0.00904136211922768,0.0021124677848662807,0.03075753094765305,0.07613333896658075,0.07587984283239681,0.15201318179897758,13,13.37016576,1770.2847088711035,0.9723140485582132,0.000549241624065233,0.016688495500443618
16,Kevin Street,0.013793340671436434,0.008908915795266923,0.009356081452944413,0.040795266923500266,0.07285360484314804,0.5070170610897083,0.4929829389102917,29072,0.4572440836543754,0.014102916895982387,0.10370803522289487,0.16290588882773804,0.039832140891579534,0.0686915244909191,0.03873142542652725,0.0025798018712162906,0.0744358833241607,0.20855118326912486,0.1422674738580077,0.10725096312603193,0.10876444689047883,0.05310952118877271,0.30562052834342324,0.06511419922949918,0.029891304347826088,0.035222894881673086,0.035463676389653274,0.05080489818381948,0.021807925151348374,0.0221862960924601,0.21979911942762795,0.1591565767749037,0.16290588882773804,0.08544303797468354,0.008186571271326363,0.0976884975233902,0.06748761695101818,0.09376719867914143,0.04320308200330215,0.023424600990643918,0.02566042927903137,0.05383186571271326,0.08334479911942763,0.09101541001651073,0.009734452394056136,0.04210236653824986,0.5485002751788662,0.29667721518987344,0.08764446890478811,0.016373142542652725,0.0039900935608145295,0.04681480462300496,0.0714433131535498,0.07127132636213539,0.1427146395156852,1,2.774478265,10478.366461450727,0.3604281253938748,3.4397358282883873e-05,0.03205833791964777
17,Kilmainham,0.014389091061195463,0.012506797172376292,0.009076839419416907,0.043460074455180485,0.07943280210816915,0.4904003011670222,0.5095996988329778,23907,0.4681474045258711,0.009536955703350485,0.10034717865060444,0.08679466265110637,0.047141004726649095,0.09482578324340153,0.05002718868950517,0.0020496089011586564,0.08018571966369682,0.2558664826201531,0.1424269042539842,0.11143179821809512,0.10749989542811728,0.0453005395909148,0.2572886602250387,0.07169448278746811,0.03429957752959385,0.04668088844271552,0.03957000041828753,0.05462835152884093,0.02116534906094449,0.024469820554649267,0.2244949178065002,0.18153678838833812,0.08679466265110637,0.0735349479232024,0.008825866900907683,0.10796001171205086,0.08298824612038315,0.09549504329275944,0.05019450370184465,0.026979545739741498,0.026561258208892796,0.05266240013385201,0.09804659723093656,0.09235788681139416,0.008323921863889238,0.04814489480068599,0.5456560839921362,0.28075459070565106,0.09859037102103986,0.021918266616472164,0.007152716777512862,0.04592797088718785,0.08721295018195507,0.0834901911574016,0.17070314133935668,3,4.86573594,4913.336912401374,0.6165562695948518,0.00012548625925461163,0.03597272765298866
18,Lucan,0.006442520636198913,0.004400471684546579,0.004573039201587621,0.013316460065000429,0.028732491587333545,0.488912537030113,0.5110874629698869,34769,0.4400184072018177,0.006557565647559608,0.0663234490494406,0.07892087779343668,0.060858811009807584,0.055566740487215625,0.018320918059190658,0.0016969139175702494,0.0944519543271305,0.3447323765423222,0.19528890678477956,0.1270384537950473,0.07874831027639564,0.02148465587160977,0.13825534240271506,0.021542178377290114,0.020046593229601083,0.03888521383991487,0.045816675774396735,0.07843193649515373,0.0286749690816532,0.027380712703845383,0.16629756392188444,0.16603871264632286,0.07892087779343668,0.05622824930253962,0.003997814144784147,0.04141620408985015,0.0735425235123242,0.12439241853375133,0.05125255256118957,0.03365066582300325,0.033478098305962205,0.06111766228536915,0.07877707152923581,0.0622681123989761,0.005090741752710748,0.024130691132905748,0.6701084299232074,0.2483246570220599,0.049469354885098786,0.008254479565129856,0.001639391411889902,0.022203687192614112,0.16017141706692745,0.15556961661249966,0.3157410336794271,4,27.03156473,1286.2370472180949,0.14797515570975234,0.00011504501136069488,0.015416031522333113
19,Lusk,0.004431072210065646,0.004431072210065646,0.0025711159737417943,0.009190371991247264,0.02062363238512035,0.4906455142231948,0.5093544857768052,18280,0.42335886214442014,0.0072210065645514215,0.07177242888402625,0.0712253829321663,0.07456236323851204,0.06187089715536105,0.02188183807439825,0.0018052516411378558,0.06914660831509847,0.3013129102844639,0.1839168490153173,0.16657549234135668,0.09857768052516412,0.03517505470459518,0.14529540481400438,0.03276805251641138,0.0262035010940919,0.04967177242888403,0.0612691466083151,0.08331509846827133,0.032439824945295404,0.025164113785557992,0.12401531728665208,0.187691466083151,0.0712253829321663,0.039934354485776806,0.005470459518599561,0.06203501094091904,0.09666301969365426,0.14310722100656456,0.06859956236323851,0.04086433260393873,0.03233041575492342,0.04928884026258205,0.055689277899343546,0.041083150984682716,0.002352297592997812,0.025054704595186,0.6308533916849015,0.27571115973741794,0.06159737417943108,0.010722100656455142,0.00262582056892779,0.01849015317286652,0.15421225382932166,0.1574398249452954,0.3116520787746171,5,54.56421164,335.01812727739065,0.09163515516340008,0.00027352297592997805,0.011433260393873086
