,count,mean,std,min,25%,50%,75%,max
SocialClassUnskilled,30.0,0.03531728948913913,0.01702195955534367,0.008005503783851398,0.021570236732760338,0.03183941792942577,0.04786857038228038,0.0677773178807947
SocialClassOther,30.0,0.201994457738254,0.07833367043575638,0.0985513608428446,0.13977098584473377,0.18689651838655158,0.2532407303071162,0.3648434193821413
AgeEducationCeasedUnder15,30.0,0.05229485402933276,0.03092311333151566,0.013978360122584277,0.02879565632785698,0.04031429932012634,0.06695348820625135,0.1380398129011204
AgeEducationCeasedAge15,30.0,0.029708422012521253,0.012768750883523597,0.00981925073488023,0.02195019819723841,0.026266212738211413,0.0342154078011213,0.06421552630624751
AgeEducationCeasedAge16,30.0,0.046491376237768084,0.015178401359206742,0.0206634608683532,0.03715264766979201,0.04481095513188269,0.05679467231199485,0.0815475542985605
AgeEducationCeasedAge17,30.0,0.04702036280701113,0.011947926948815394,0.02441301405031975,0.03820423360026641,0.05011927867689487,0.05721145466725902,0.0612691466083151
AgeEducationCeasedAge18,30.0,0.0703480318389502,0.014576352805661308,0.03681760473973762,0.06216636613569676,0.07305802481808651,0.08103359768717727,0.09166905512563296
AgeEducationCeasedAge19,30.0,0.02392441506981593,0.0037458939365472735,0.016716038933559038,0.02174958062558544,0.023243219131012523,0.02631597746888856,0.032439824945295404
AgeEducationCeasedAge20,30.0,0.02224239600153193,0.003642181176351351,0.014901960784313726,0.019919775982328275,0.022692906104828357,0.024958921129001027,0.02889486521983864
AgeEducationCeasedAge21+,30.0,0.18054951281444886,0.0688871099596723,0.07575547866205305,0.1380933027492553,0.16309935630536582,0.21784145085298767,0.33410790485445097
AgeEducationCeasedNotStated,30.0,0.188041755398099,0.02158728149724427,0.1399712302207768,0.1738952158871346,0.1879977372466628,0.20320312680957814,0.22661870503597126
EducationNotCeasedStillAtSchool,30.0,0.10377864698964631,0.03131906562128974,0.06829714666001165,0.07898694876993484,0.09552952864766187,0.11986675780173342,0.17562199456408112
EducationNotCeasedOther,30.0,0.0571094102183882,0.023493288888232905,0.03013567054868532,0.040026484791379296,0.048393408811759145,0.07160158944668597,0.1250525136535499
HighestLevelEducationNoFormalEducation,30.0,0.007786422324363764,0.0033604091855771144,0.002916091809858272,0.0055181980548100786,0.007845375187225832,0.009086937106166534,0.018709887958229088
HighestLevelEducationPrimary,30.0,0.08396139534848003,0.04176858780858455,0.025392457314403653,0.05350235921609233,0.06877876355725107,0.10764713706964034,0.18934696689510133
HighestLevelEducationLowerSecondary,30.0,0.08727505359979196,0.029156190238915285,0.03292912398076521,0.07011961891939364,0.08255176082798249,0.09905935247043658,0.14820063968743416
HighestLevelEducationUpperSecondary,30.0,0.11980789365422691,0.022897230593112997,0.06596487515869658,0.1094031949576885,0.12342910478653152,0.13733406623653366,0.15472437183529186
HighestLevelEducationTechnicalQualification,30.0,0.048374053521133206,0.00971868014528957,0.025472158338560175,0.0454319138857608,0.04889480600713449,0.05148427003630247,0.06859956236323851
HighestLevelEducationAdvCert/Apprenticeship,30.0,0.028515124621083597,0.00660819283523027,0.01578507213046205,0.02345510916963321,0.02794447176115296,0.03186859739975256,0.041648863659484434
HighestLevelEducationHigherCertificate,30.0,0.027550050037747787,0.0052004727178732784,0.016239907727796998,0.025095180708749283,0.02682767356756722,0.031678245289933134,0.03640411388435971
HighestLevelEducationOrdinaryBachelorDegree,30.0,0.05265221780301586,0.013028443004965622,0.023575547866205304,0.04570531311075247,0.05392563803855769,0.06186578628866031,0.07630245793983363
HighestLevelEducationHonoursBachelorDegree,30.0,0.08024821555227372,0.032023478600324735,0.03155709342560554,0.06156021844230862,0.07615130852774121,0.09800066946361714,0.1621107778106384
HighestLevelEducationPostgraduateDegree,30.0,0.07634331670466034,0.03798036801681086,0.02459054209919262,0.05132183765123232,0.06757337747267271,0.09118474752021882,0.17182812962102328
HighestLevelEducationDoctorate,30.0,0.008530479656004727,0.006172339511544611,0.001647099381380116,0.003947859819915162,0.007438423001529241,0.009689686976505494,0.023311729040351243
HighestLevelEducationNotStated,30.0,0.039576903386697275,0.02073215669922316,0.017261867533929578,0.02658650022404139,0.03306432555596253,0.04376925879450116,0.11203977994075327
GeneralHealthVeryGood,30.0,0.5965820377878599,0.05218470265579231,0.4989134933774834,0.5476094978604605,0.6004300813548584,0.6393302423502625,0.6785915316780287
GeneralHealthGood,30.0,0.27458969443723313,0.02147920356652977,0.23563074613796986,0.26027050755946435,0.27435886579517743,0.29388748940816023,0.31286422545011744
GeneralHealthFair,30.0,0.07782487110341782,0.018605409493542394,0.049469354885098786,0.06165415813045168,0.07482453596615429,0.09528756381298406,0.11320207404184345
GeneralHealthBad,30.0,0.013780813946341583,0.00464870045141296,0.0069923491784773615,0.009465637679199225,0.011802543159061162,0.017477449097016862,0.022273303741280916
GeneralHealthVeryBad,30.0,0.0032230236705340864,0.001401919585615363,0.0012542330364981814,0.002105542237602075,0.002974355310223949,0.003981958706750759,0.007152716777512862
GeneralHealthNotStated,30.0,0.03399955905461343,0.022709412545094666,0.013583384453597408,0.020408133136194544,0.026632375181029233,0.03698290135018081,0.11812314853999152
Total_Under18Male,30.0,0.11313576816432437,0.03253477200922712,0.05258146424037241,0.08162260139207893,0.11181507686362406,0.13744755629423525,0.17194908909408535
