,GardaStation,PopulationTotalMale,PopulationTotalFemale,PopulationTotal,PrincipalStatusAtWork,PrincipalStatusLookingForFirstJob,PrincipalStatusUnemployed,PrincipalStatusStudent,PrincipalStatusLookingAfterHome/Family,PrincipalStatusRetired,PrincipalStatusUnableToWork,PrincipalStatusOther,SocialClassProfessionalWorkers,SocialClassManagerialAndTechnical,SocialClassNonManual,SocialClassSkilledManual,SocialClassSemiSkilled,SocialClassUnskilled,SocialClassOther,AgeEducationCeasedUnder15,AgeEducationCeasedAge15,AgeEducationCeasedAge16,AgeEducationCeasedAge17,AgeEducationCeasedAge18,AgeEducationCeasedAge19,AgeEducationCeasedAge20,AgeEducationCeasedAge21+,AgeEducationCeasedNotStated,EducationNotCeasedStillAtSchool,EducationNotCeasedOther,HighestLevelEducationNoFormalEducation,HighestLevelEducationPrimary,HighestLevelEducationLowerSecondary,HighestLevelEducationUpperSecondary,HighestLevelEducationTechnicalQualification,HighestLevelEducationAdvCert/Apprenticeship,HighestLevelEducationHigherCertificate,HighestLevelEducationOrdinaryBachelorDegree,HighestLevelEducationHonoursBachelorDegree,HighestLevelEducationPostgraduateDegree,HighestLevelEducationDoctorate,HighestLevelEducationNotStated,GeneralHealthVeryGood,GeneralHealthGood,GeneralHealthFair,GeneralHealthBad,GeneralHealthVeryBad,GeneralHealthNotStated,Total_Under18Male,Total_Under18Female,Total_Under18
19,Howth,10045,10889,20934,8503,97,1112,1934,1842,3248,494,52,2399,8410,3675,2348,1336,294,2472,785,539,1034,1110,1919,547,486,3989,4262,1934,677,106,1421,1790,3239,1066,656,687,1373,1929,1719,188,497,13229,5597,1501,235,40,332,2349,2271,4620
20,Irishtown,11222,12447,23669,13231,114,1182,2062,1145,2489,429,71,4539,8682,3542,1758,1219,565,3364,735,420,643,699,1120,437,564,7908,4859,2062,1276,134,1282,1226,2060,813,440,603,1530,3837,4067,493,900,15380,5857,1440,214,50,728,1802,1796,3598
21,Lucan,16999,17770,34769,15299,228,2306,2744,2116,1932,637,59,3284,11986,6790,4417,2738,747,4807,749,697,1352,1593,2727,997,952,5782,5773,2744,1955,139,1440,2557,4325,1782,1170,1164,2125,2739,2165,177,839,23299,8634,1720,287,57,772,5569,5409,10978
22,Lusk,8969,9311,18280,7739,132,1312,1302,1363,1131,400,33,1264,5508,3362,3045,1802,643,2656,599,479,908,1120,1523,593,460,2267,3431,1302,730,100,1134,1767,2616,1254,747,591,901,1018,751,43,458,11532,5040,1126,196,48,338,2819,2878,5697
23,Malahide,15674,16218,31892,14378,171,1554,3086,2529,3137,524,59,3618,13992,5764,3383,1602,390,3143,520,533,1251,1649,2765,954,829,6117,6555,3086,1179,93,1181,2220,4748,1514,1113,1161,2151,3209,2663,246,874,21549,7842,1593,223,40,645,4190,3849,8039
24,Mountjoy,11890,11029,22919,9887,257,2392,2709,1167,2550,680,628,1903,5963,3123,2322,2091,1008,6509,1174,670,843,927,1471,509,497,4432,5020,2709,2018,201,1998,1882,2525,1076,537,573,1149,1895,1946,219,1542,12319,6494,2041,362,81,1622,1828,1608,3436
25,Pearse Street,9682,9222,18904,10079,200,1301,3237,780,1254,539,144,1961,4526,2300,1462,1219,539,6897,853,429,535,502,696,316,319,4780,4284,3237,1583,114,1144,1003,1247,546,397,474,1082,1850,2343,396,2118,10271,5094,1077,179,50,2233,994,973,1967
26,Raheny,11890,13097,24987,9641,147,1539,2212,1982,4125,856,52,2153,7861,4954,3494,2257,708,3560,1673,983,1595,1479,2190,586,490,3556,5037,2212,753,202,2803,3013,3566,1234,782,677,1246,1664,1519,147,736,14628,7041,2386,438,105,389,2856,2826,5682
27,Santry,16713,18973,35686,14141,237,2320,4384,2312,5581,1249,73,2581,10010,6410,4706,3003,1189,7787,2264,1212,2087,2012,2648,822,744,5269,7191,4384,1664,290,3808,3768,4624,1649,1078,873,1659,2558,2236,262,1444,20400,10088,3447,668,151,932,3558,3420,6978
28,Skerries,5567,5844,11411,4358,74,743,1076,958,1175,265,19,1021,4495,2024,1458,801,236,1376,320,269,490,656,927,301,286,1700,2272,1076,371,67,608,932,1667,576,423,409,708,839,696,71,225,7406,2954,764,108,24,155,1734,1649,3383
29,Store Street,10782,10641,21423,11262,305,2043,3342,831,1023,567,67,1442,4482,3069,2172,2175,973,7110,856,449,586,523,994,492,477,4541,4501,3342,2679,170,1396,1178,1755,922,493,590,1271,1778,1934,179,1753,11770,6385,1451,247,43,1527,1271,1441,2712
30,Sundrive Road,11993,13239,25232,9789,207,2609,1998,1681,3348,1223,42,1213,5326,4312,4319,3272,1511,5279,3059,1421,1704,1499,1639,480,440,3390,4095,1998,1172,262,4344,3126,2876,1301,686,494,993,1454,1224,90,877,13363,7662,2795,562,165,685,2731,2700,5431
31,Swords,24291,24858,49149,23040,342,3369,3684,2917,2724,1338,67,3113,15342,9918,7310,5081,1467,6918,1188,1163,2318,2994,4228,1467,1342,6718,9684,3684,2695,328,2432,4426,7273,3167,2047,1686,2655,3032,2342,171,1543,30994,13418,2830,426,93,1388,7232,6796,14028
32,Salthill,13856,15474,29330,12545,184,2075,3304,1750,2436,543,179,4504,9640,4329,2621,1988,703,5545,349,302,736,934,1803,728,808,6977,5380,3304,1695,113,823,1452,3283,1313,863,1049,2047,2641,3153,583,697,19049,7607,1758,257,42,617,3949,3766,7715
33,Galway,22255,22889,45144,17788,441,4253,8103,2357,4240,1542,354,3407,9378,6390,4709,4538,1761,14961,1412,856,1518,1667,2753,1020,1098,7462,10066,8103,3123,446,3039,3510,5351,2326,1252,1242,2342,3052,2924,435,1933,24938,13928,3849,645,153,1631,4144,3992,8136
34,Roscommon,6768,6874,13642,5373,88,942,1057,1018,1564,493,39,914,3978,2598,2120,1305,426,2301,605,370,793,756,1387,487,380,1844,2400,1057,495,171,1141,1446,2079,799,528,456,673,729,545,38,417,8248,3677,1162,202,56,297,1918,1831,3749
35,Athleague,1523,1471,2994,1232,18,183,219,231,333,97,15,147,915,660,446,296,72,458,162,105,185,153,300,86,66,363,613,219,76,23,317,347,460,170,133,93,137,152,118,4,79,1731,897,276,32,7,51,418,391,809
36,Boyle,2992,3114,6106,2349,45,484,422,524,781,244,18,434,1704,1301,962,611,192,902,392,233,449,378,716,197,215,884,852,422,129,47,686,682,951,398,264,220,307,356,255,17,133,3420,1826,648,78,14,120,730,777,1507
37,Ballaghaderreen,3061,2924,5985,1891,43,638,461,577,827,294,23,230,1270,928,1160,841,278,1278,458,285,506,397,607,178,145,568,972,461,177,62,740,878,894,381,254,156,242,192,135,9,173,3271,1742,737,137,22,76,792,758,1550
38,Keadue,744,714,1458,543,19,132,101,138,167,72,8,71,352,251,270,189,76,249,173,62,144,124,131,49,35,216,106,101,39,12,237,190,187,100,63,54,65,70,42,7,13,801,454,165,19,7,12,180,181,361
39,Castlerea,3175,2806,5981,2016,48,763,449,460,890,260,58,240,1330,1053,920,629,236,1573,337,200,372,312,497,132,118,506,1738,449,283,101,788,817,868,359,201,173,240,224,132,9,300,2949,1916,777,104,19,216,678,672,1350
