,Unnamed: 0,Theft,Assault & Kidnapping,Fraud & Drugs & Weapons,Environment & Public Order,PopulationTotalMale,PopulationTotalFemale,PopulationTotal,PrincipalStatusAtWork,PrincipalStatusLookingForFirstJob,PrincipalStatusUnemployed,PrincipalStatusStudent,PrincipalStatusLookingAfterHome/Family,PrincipalStatusRetired,PrincipalStatusUnableToWork,PrincipalStatusOther,SocialClassProfessionalWorkers,SocialClassManagerialAndTechnical,SocialClassNonManual,SocialClassSkilledManual,SocialClassSemiSkilled,SocialClassUnskilled,SocialClassOther,AgeEducationCeasedUnder15,AgeEducationCeasedAge15,AgeEducationCeasedAge16,AgeEducationCeasedAge17,AgeEducationCeasedAge18,AgeEducationCeasedAge19,AgeEducationCeasedAge20,AgeEducationCeasedAge21+,AgeEducationCeasedNotStated,EducationNotCeasedStillAtSchool,EducationNotCeasedOther,HighestLevelEducationNoFormalEducation,HighestLevelEducationPrimary,HighestLevelEducationLowerSecondary,HighestLevelEducationUpperSecondary,HighestLevelEducationTechnicalQualification,HighestLevelEducationAdvCert/Apprenticeship,HighestLevelEducationHigherCertificate,HighestLevelEducationOrdinaryBachelorDegree,HighestLevelEducationHonoursBachelorDegree,HighestLevelEducationPostgraduateDegree,HighestLevelEducationDoctorate,HighestLevelEducationNotStated,GeneralHealthVeryGood,GeneralHealthGood,GeneralHealthFair,GeneralHealthBad,GeneralHealthVeryBad,GeneralHealthNotStated,Total_Under18Male,Total_Under18Female,Total_Under18,Green,NoLowEducation,MiddleEducation,HighEducation,EducationCeasedYoung,ContinuedEducation,StillInEducation,GoodHealth,PoorHealth,TotalCrime,LowerSocialClass,HigherSocialClass
PrincipalStatusUnemployed,-0.4377702231002095,0.7249886130558407,0.6961598593207288,0.7535523278546933,0.4564314620556008,0.9093847409393044,0.8920494745306625,0.9011959448227325,0.863994144149992,0.9619735365850249,1.0,0.7247895577645691,0.8215910407846854,0.5453278347898479,0.9145129092716922,0.3460511207841079,0.4348154415933198,0.6609000241591856,0.8869170830010982,0.9296822467814246,0.97506118679594,0.9508537461255124,0.9178518105668992,0.7222792396058654,0.8496471539510344,0.863687771938714,0.8724961037185729,0.8258520079888102,0.8640609969243402,0.8094903076416475,0.5897198484966305,0.8938413041593224,0.7247895577645691,0.9232811784869521,0.9163396591996174,0.7797209179727228,0.8917424280684153,0.8533798070037217,0.9235407321143365,0.8727159316776341,0.793441808706766,0.7065627111122009,0.5616220259502517,0.45938778152475,0.24602630878936893,0.833133522284692,0.8556802567720485,0.9367098723196264,0.9081722593520563,0.8895766708755285,0.7995930625689818,0.7583313230662155,0.8612391256272052,0.8628076258438359,0.8621177855121039,0.2866801511563011,0.8662885796917341,0.9066530355624393,0.5707884634199,0.8699960891426721,0.7888203676610022,0.9232811784869521,0.8857229246946207,0.8895766708755285,0.7663363039401689,0.9768578075052795,0.7228446059549365
PrincipalStatusStudent,-0.496771721810837,0.7532718393812889,0.68483885251251,0.5510833796359308,0.47867411482059474,0.8433096545791409,0.8406002175462438,0.842591385038647,0.845051469929592,0.7415919489095745,0.7247895577645691,1.0,0.7230291236482724,0.693937617759109,0.6607834231400794,0.4265661955654451,0.761311681468819,0.7633438158673769,0.7334912296948028,0.6131567309428853,0.6696258615573888,0.6225565846435649,0.8821835383937391,0.36869043379445143,0.4913436046329819,0.5748019727256068,0.6689975502476262,0.7318946108716904,0.7702725656577357,0.8261716855497414,0.8567328281078805,0.8493006488241243,1.0,0.7973597378319246,0.6317920748002613,0.45472306274054614,0.5924398556794352,0.7586518703320921,0.7235590802480111,0.7018579597665655,0.800613206438798,0.8500735788968132,0.8288536481418173,0.8055478182176693,0.7232892550285965,0.8036908210546205,0.8200693825536544,0.8448711316568558,0.775646100333137,0.7264007153475921,0.689179537111843,0.7749362418534712,0.6717526948155453,0.6757545300056853,0.6737893532647082,0.49603247933900185,0.5465227985485095,0.7171549443884425,0.8414267355625656,0.5541407299088894,0.9004490654810211,0.7973597378319246,0.8328824736007084,0.7264007153475921,0.7012193738798723,0.6624022280767918,0.7923238889852614
PrincipalStatusLookingAfterHome/Family,-0.43599757225872887,0.5872525200266955,0.44466885285099067,0.5348724950933378,0.17821882906981193,0.9431668447367775,0.9566580034635218,0.9508620570968633,0.907724867965743,0.7401734755796306,0.8215910407846854,0.7230291236482724,1.0,0.7968433971709818,0.7769044727942014,0.18331814721873435,0.6966621780708548,0.9068943739821147,0.9639967376582149,0.9016348345586559,0.8382713499180525,0.7053377664120497,0.7054827355000056,0.5827660067544366,0.7793524797772793,0.8959640273705511,0.9597707286743727,0.977129615216138,0.9463574823860517,0.9037936365404172,0.7256985589672807,0.9303883756760946,0.7230291236482724,0.7492919608228288,0.7429700535013567,0.6640393261316054,0.887162339367815,0.9748191643296248,0.936849910525324,0.9344618423216668,0.9119670992695994,0.8613620181803058,0.7427664665496584,0.627308292407638,0.4311060256389275,0.659938968227656,0.9540516095354573,0.9348254338322549,0.8648947662163663,0.7857599509377251,0.685726905851892,0.5455127376881561,0.9475176586398527,0.9480019744170238,0.947880615545862,0.5581454361276008,0.8017292273960224,0.9382452525874193,0.7436724030352402,0.8451943471402923,0.8806729654669697,0.7492919608228288,0.9544225711576539,0.7857599509377251,0.5567380173806964,0.808668699523454,0.9307510849619572
PrincipalStatusRetired,-0.4219838981576895,0.5191923620634228,0.29800196649171456,0.3491492128697897,0.12676812472492863,0.7111713282288388,0.749871918542594,0.7316483220585355,0.681854114838548,0.44347629228235547,0.5453278347898479,0.693937617759109,0.7968433971709818,1.0,0.6759968781185537,0.22796110349486892,0.6639208855526185,0.7313490649872953,0.7008719389307696,0.607183070009492,0.5793728206570462,0.5216609725013752,0.5573098508137853,0.5983386029605915,0.6645252876175683,0.7364482412943354,0.7210040519357974,0.7597668868797369,0.6571369212280173,0.6496520853712009,0.6739311160613808,0.7324292678529981,0.693937617759109,0.43934157386852507,0.5992177036776203,0.664292881526233,0.7081272464185918,0.7431481284996491,0.6425937819936365,0.6250683898544258,0.642952821298611,0.6816539299758009,0.6924084183059661,0.6472509514072783,0.5575184276403675,0.5259052978127717,0.7093469203381021,0.7303887824277028,0.8187461960355186,0.7729958079971485,0.7304534202535989,0.3992869771137094,0.595385663399437,0.5974395701229954,0.5964646585334291,0.6116992107353305,0.7038114456094926,0.6375646623950947,0.6858897245384821,0.718773226854885,0.7401452412507872,0.43934157386852507,0.7203057091664281,0.7729958079971485,0.4183966891583572,0.5684039595179926,0.7459215506387739
PrincipalStatusUnableToWork,-0.42393204636931375,0.6758849849534536,0.6241558811881697,0.7320937306369055,0.4091681166344935,0.8169967430007273,0.8156104902674517,0.8169380371103874,0.7594557301012533,0.8331367579446562,0.9145129092716922,0.6607834231400794,0.7769044727942014,0.6759968781185537,1.0,0.25333078091833044,0.33214731774285505,0.5572640021706415,0.8124744013609237,0.8860573906863707,0.9453632890613362,0.9533548252659653,0.843367546473582,0.8961197783429855,0.9439533323467343,0.9189114017755907,0.8410618955938025,0.7688628718837155,0.7504710956474356,0.6775046482755364,0.49056171728836717,0.8109504716821607,0.6607834231400794,0.7440302619161527,0.9695135523700205,0.9308824878851238,0.9239408283895473,0.7848894416139071,0.8408223143578091,0.7818827254591407,0.6566173573550945,0.5769484430800446,0.4657977482545284,0.3735715835895436,0.1905470428227457,0.7531384912197756,0.7499616073145532,0.8700359095220491,0.9587566135057702,0.9614181914998878,0.9098983182901903,0.649808091277445,0.7335180316310176,0.7351956100775998,0.7344325692081419,0.31706247678162347,0.9567059644082399,0.8206744063231843,0.46826444274722856,0.9497907428412095,0.6898136962000199,0.7440302619161527,0.7911230571974698,0.9614181914998878,0.7173312408985129,0.9558451561979537,0.6233934706259214
PrincipalStatusOther,-0.1744975690927099,0.4085314722869457,0.4473415793166067,0.300410698035257,0.26529086245803524,0.30230026961817286,0.2750671620273764,0.28853383061276566,0.2835209299653352,0.32942307294555484,0.3460511207841079,0.4265661955654451,0.18331814721873435,0.22796110349486892,0.25333078091833044,1.0,0.19891606127850797,0.18320092244904657,0.1999683902455654,0.1889220167420076,0.2744941360342668,0.3130790827436022,0.47195516696959866,0.13550036412566996,0.1622312495282312,0.14472302957331157,0.17661057849256134,0.19905316126697567,0.2373089991892063,0.2662465703829743,0.2764612481629175,0.3606410372700356,0.4265661955654451,0.38566254134032546,0.30669657176289516,0.1909268784627196,0.20199246194782736,0.22877033401679542,0.2533762248931514,0.2094404677590673,0.24185887544972762,0.25627933246858525,0.24346628757359157,0.2626737619505262,0.2787922346578852,0.4802125825387015,0.24778975539751685,0.31454181120732766,0.32574385781340637,0.30335712904909,0.27068423305654715,0.5225362347622544,0.1712531800072866,0.16196960844640923,0.166761047388957,0.132829094017883,0.20723686782246728,0.2374424434522686,0.25871622214807216,0.16274704655524677,0.33338872815293147,0.38566254134032546,0.2695761746193079,0.30335712904909,0.40437693497250854,0.28761182130568597,0.20087553796053
SocialClassProfessionalWorkers,-0.459582330493475,0.5192145784340072,0.279828953898579,0.19991999247169848,0.1623270461891011,0.7281873974089702,0.7492419610841506,0.7396009971872883,0.7779152092238074,0.4489292647500146,0.4348154415933198,0.761311681468819,0.6966621780708548,0.6639208855526185,0.33214731774285505,0.19891606127850797,1.0,0.8940190176948889,0.6457246345047962,0.4212628713796313,0.3733697438692356,0.2450824321699372,0.501845648791707,0.05848177525230118,0.23017739527101852,0.38404797042566613,0.5616664311735668,0.6850203648293768,0.7027093610277296,0.8128734426951584,0.9608360642914325,0.6897878994845994,0.761311681468819,0.5803089821704289,0.2835112850550763,0.1307116742164174,0.36185970408612445,0.6783553734836505,0.5734941809378342,0.5936563392002585,0.7971344855701734,0.9068538324593136,0.9702755531433604,0.9679939521737257,0.9045354636538492,0.4909817129604159,0.7863834794280813,0.6681996135934823,0.5121674307154452,0.4243790340791207,0.4118060580578599,0.47656418429759856,0.6479708805916454,0.6508119409366615,0.6494397866179609,0.532830109463312,0.2597814697921553,0.5824960363088647,0.9718855995750865,0.3237285395199898,0.8723139909951113,0.5803089821704289,0.7557509184718287,0.4243790340791207,0.3592975303910789,0.34099488684451257,0.8810379124274405
SocialClassManagerialAndTechnical,-0.3845358795028332,0.5865193440144698,0.375939677003275,0.3721904539140631,0.17561783863501462,0.9052949017175957,0.9168587154328572,0.9119683643509426,0.924065274948873,0.641011704322525,0.6609000241591856,0.7633438158673769,0.9068943739821147,0.7313490649872953,0.5572640021706415,0.18320092244904657,0.8940190176948889,1.0,0.8863997022401986,0.7200106175772517,0.6456932389699459,0.4813656485353398,0.6093445129170092,0.27757912515923755,0.5056772181329675,0.6752965295779979,0.8404996422895573,0.9192652343631141,0.9212768810870526,0.953875789775329,0.8976599454838485,0.8779571453532149,0.7633438158673769,0.7309734042622476,0.5051968728388974,0.3683070466734027,0.6556670365574191,0.9133505638173638,0.8358098061351692,0.8614687611635334,0.9603796130128671,0.9753942386701251,0.9196821680627476,0.8389600928990227,0.6577836121665024,0.6085214480749385,0.9477025595033745,0.8591749737050434,0.6997114779945742,0.6037091094226605,0.5343404262122623,0.5447925413820613,0.882216432950738,0.8827392249626793,0.8825893226410257,0.6107539974046535,0.5326326843453081,0.847525428143794,0.921072475028969,0.6027320527461473,0.9434234705658628,0.7309734042622476,0.9270812102503686,0.6037091094226605,0.47686038105423845,0.6056864174307377,0.9944246826671572
SocialClassNonManual,-0.3748305749126804,0.6454144775989628,0.5222641344535112,0.609834864310285,0.2641174740654263,0.9758987486106114,0.9769642906600976,0.9772285059212887,0.9549710348564893,0.8260569917029926,0.8869170830010982,0.7334912296948028,0.9639967376582149,0.7008719389307696,0.8124744013609237,0.1999683902455654,0.6457246345047962,0.8863997022401986,1.0,0.9553094704958492,0.9081010034922301,0.7776741676807694,0.7702566625086856,0.5903507116839345,0.7998489375157496,0.9107974253168966,0.9839182558227085,0.9828301250352602,0.9797738481266349,0.9343268428468179,0.7206104333051364,0.9610347184320124,0.7334912296948028,0.8449393882415791,0.7782253612803776,0.6733303235839236,0.910448427725095,0.9872869924413133,0.9846264314018233,0.9850783312097858,0.9405420884776392,0.8669405474893386,0.7306916905246926,0.6059551045398466,0.36993274929628905,0.7359381312019458,0.9737412905138659,0.970286889112053,0.8755571584306325,0.8033870353903282,0.70019240199489,0.6365765661477053,0.9737477496496781,0.9741209283870459,0.9740601808707172,0.5097133243391908,0.8195891512628124,0.9872088877065168,0.732365471865027,0.8622271751657234,0.895338712840706,0.8449393882415791,0.9790079785587008,0.8033870353903282,0.6301546004568744,0.8798049849308263,0.9213042655057327
SocialClassSkilledManual,-0.3235355117369972,0.6057734411047533,0.5409010867455859,0.6790226967145447,0.26096348794900265,0.9089211962026301,0.9047330149681805,0.9074948201362434,0.8634498865186242,0.8460648689715887,0.9296822467814246,0.6131567309428853,0.9016348345586559,0.607183070009492,0.8860573906863707,0.1889220167420076,0.4212628713796313,0.7200106175772517,0.9553094704958492,1.0,0.969539652101046,0.8789536325307706,0.7719060837857215,0.7361213825538884,0.9046420418098889,0.9604999202146124,0.9660594374471035,0.9107812266727062,0.9047660398280797,0.8151185581586794,0.5272698364159255,0.9003160524505992,0.6131567309428853,0.812941020030224,0.8680499754246476,0.7997879936348641,0.9696567532289208,0.9209427850251402,0.9668692769797221,0.9501962580929347,0.8201677123893966,0.7002408196033912,0.5298883944246122,0.39092097831626943,0.147415243888434,0.7241996437683564,0.8810675399468549,0.9278146347508415,0.8881506806421351,0.8415106444045702,0.7363101866851236,0.6117383754614206,0.9268407277374767,0.9269376989324887,0.9270125153997033,0.3688219395930556,0.9137308660969345,0.9629557481056833,0.531024515536254,0.937093215389327,0.7613935945036032,0.812941020030224,0.9009104767360999,0.8415106444045702,0.6453810567230414,0.9528482339101553,0.7739337639050631
