,Theft,Assault & Kidnapping,Fraud & Drugs & Weapons,Environment & Public Order,TotalCrime,PopulationTotalMale,PopulationTotalFemale,PopulationTotal,PrincipalStatusAtWork,PrincipalStatusLookingForFirstJob,PrincipalStatusUnemployed,PrincipalStatusStudent,PrincipalStatusLookingAfterHome/Family,PrincipalStatusRetired,PrincipalStatusUnableToWork,PrincipalStatusOther,SocialClassProfessionalWorkers,SocialClassManagerialAndTechnical,SocialClassNonManual,SocialClassSkilledManual,SocialClassSemiSkilled,SocialClassUnskilled,SocialClassOther,AgeEducationCeasedUnder15,AgeEducationCeasedAge15,AgeEducationCeasedAge16,AgeEducationCeasedAge17,AgeEducationCeasedAge18,AgeEducationCeasedAge19,AgeEducationCeasedAge20,AgeEducationCeasedAge21+,AgeEducationCeasedNotStated,EducationNotCeasedStillAtSchool,EducationNotCeasedOther,HighestLevelEducationNoFormalEducation,HighestLevelEducationPrimary,HighestLevelEducationLowerSecondary,HighestLevelEducationUpperSecondary,HighestLevelEducationTechnicalQualification,HighestLevelEducationAdvCert/Apprenticeship,HighestLevelEducationHigherCertificate,HighestLevelEducationOrdinaryBachelorDegree,HighestLevelEducationHonoursBachelorDegree,HighestLevelEducationPostgraduateDegree,HighestLevelEducationDoctorate,HighestLevelEducationNotStated,GeneralHealthVeryGood,GeneralHealthGood,GeneralHealthFair,GeneralHealthBad,GeneralHealthVeryBad,GeneralHealthNotStated,Total_Under18Male,Total_Under18Female,Total_Under18,Green,Area,PopulationDensity,GreensPerKMSQ,GreensPerPerson
PrincipalStatusUnemployed,0.25823980700373705,0.3210298710215348,0.4543121809598814,0.33402528940073883,0.35796620465937556,0.5039587365795017,-0.503958736579501,-0.05380337535489202,-0.283918997545634,0.8568953617872015,1.0,-0.10770829676410575,-0.3295996042582616,-0.38654982632348295,0.786630277381486,0.17941572087696603,-0.8027778638542902,-0.9103493248079249,-0.06432396349450208,0.5350632109720398,0.8915471387088678,0.9444593286976242,0.6971122819516717,0.698511178035898,0.674539038444184,0.4201914723644532,0.07938004866870513,-0.31008435603758505,-0.1631931159819481,-0.6025327167181939,-0.5420166751819137,-0.014277031643356421,-0.10770829676410575,0.622742023905555,0.8201720603661726,0.6942455525707397,0.5279374859208594,-0.2364498553266061,0.3724472756312497,-0.034241414257348224,-0.6369201006084547,-0.7786382816323053,-0.6679748474359568,-0.5759429078746346,-0.5657587600513728,0.36927745807231205,-0.8172191042185141,0.868732250606824,0.6727311498375087,0.7217600581314119,0.5320126326720119,0.32449696039807263,-0.09649079515083148,-0.08905693531826277,-0.09308058893501528,-0.42973632041870125,-0.1586388435493742,0.5164731127230038,-0.2530498286749566,-0.47916924614189044
PrincipalStatusStudent,0.6084185920392401,0.4995859377768788,0.3972484861065882,0.4741279300995987,0.5131130200299093,0.3159889678912723,-0.31598896789127273,-0.2486645573771418,0.4528893843703114,0.23003813888239574,-0.10770829676410575,1.0,-0.5530952638110324,-0.030624347461462392,-0.1918819088575159,0.20538929164868588,0.3998969020427775,-0.023828706646010184,-0.7856735102516899,-0.7236063239836973,-0.3878668367030097,-0.11100723100332308,0.5564156397379804,-0.247198239750271,-0.4306236113282016,-0.6433629303598672,-0.7730346316485683,-0.6220005417905832,-0.4829625453819505,-0.0329381466719277,0.610403831862232,0.08947439645199072,1.0,0.42881246134378914,-0.21100865963646334,-0.2995132557143829,-0.6313042369728208,-0.6481929330338709,-0.7871801539460165,-0.7060101979623065,-0.08146728517175449,0.3884947089558699,0.49485084753720066,0.6045537938752411,0.667579828805619,0.5816006854463049,-0.19981763934587138,-0.058633265675133946,-0.13187981953953354,-0.05851896684073179,0.020387765368448323,0.6333916873344901,-0.7312342321175545,-0.7284907704129999,-0.7313054672775015,-0.18171777607016082,-0.5083061765252905,0.5811500722033647,0.17188660112771376,-0.1670583450616612
PrincipalStatusLookingAfterHome/Family,-0.6669335108013498,-0.5592397400152433,-0.5031226938904624,-0.5877803795924355,-0.6217575876538103,-0.597503919421652,0.5975039194216517,0.055092887078585076,-0.7179685640350794,-0.5569887608422409,-0.3295996042582616,-0.5530952638110324,1.0,0.4996216132574874,-0.12479963747356294,-0.27642059515054396,-0.01791350455251234,0.44223286471222045,0.6388124869500813,0.3343158536581717,-0.11140269639808519,-0.3516836159213284,-0.7180080950265038,-0.001323988537880959,0.1800913367728425,0.5013696634975913,0.7210160158721824,0.8351024861699715,0.4192430046196114,0.03635837210852714,-0.4331027079947886,-0.08971142372326939,-0.5530952638110324,-0.8131919461199107,-0.09616504201538262,0.05341606447750041,0.437754380088996,0.827824451734071,0.38650999598911234,0.4882584278214085,0.24304918703440964,-0.06531771339762157,-0.2859883087682273,-0.3928949858677137,-0.320808397905058,-0.6933262658850603,0.47910854194070646,-0.2960092732200309,-0.03596736325553419,-0.18100246580550458,-0.2696018608799249,-0.7378226731019788,0.7050152990333962,0.6980674595538159,0.7030033770102551,0.3154979442113324,0.23009993989157382,-0.6529640304556998,0.09144959920549418,0.42324888894130464
PrincipalStatusRetired,-0.25213354488614276,-0.39331489098519096,-0.39067754583265074,-0.3411782778442645,-0.3632729277853786,-0.6562782498694382,0.6562782498694384,-0.1548323840018508,-0.35941867815176093,-0.5207376641575275,-0.38654982632348295,-0.030624347461462392,0.4996216132574874,1.0,0.05238418868066197,-0.0053444855011193695,0.3256668379114611,0.36541091503722517,0.04937969052132301,-0.15318852209810027,-0.2897384353835236,-0.26634715892256133,-0.3699117365588593,0.19971010274810858,0.17796371074464237,0.29242786016146977,0.25846718241376543,0.3782380040493986,-0.2845275935896414,-0.15022130413826765,0.12915639430923137,-0.046777286412114295,-0.030624347461462392,-0.6402316323819653,-0.027806559771900014,0.23544502904329043,0.19029054540367565,0.2970811460454688,-0.258902829150526,-0.23014120091900894,-0.12904391228486498,0.10399684267776109,0.21777782996685216,0.18701149874203077,0.22143363518465176,-0.30961692525603024,0.06037109767558083,-0.14030108801659744,0.36344757743444067,0.24282368485435682,0.21879129813625228,-0.36700753582062695,-0.1283281677510708,-0.14394081197956246,-0.13612301249657716,0.2609088704948415,-0.40238107710613047,-0.1318013048658972,0.5516544622826949,0.3388325539571787
PrincipalStatusUnableToWork,0.16618897762565354,0.1949726854810295,0.3314595629506507,0.21096705606853997,0.23025746353693602,0.0984223716556213,-0.09842237165562037,-0.13428843290747997,-0.4001983267970764,0.5501449827159453,0.786630277381486,-0.1918819088575159,-0.12479963747356294,0.05238418868066197,1.0,-0.023696832640127636,-0.6844837080793575,-0.7899315422070279,0.010484446237007223,0.5652419336385243,0.8404453894093838,0.8537135994511003,0.49417859170803297,0.939851308360736,0.8881794347561973,0.6884407373335808,0.2630961000471135,-0.18885841293181097,-0.3646306987550272,-0.7092090008364056,-0.49250421980314313,-0.19158921370684684,-0.1918819088575159,0.22663271610296556,0.924942731081524,0.9223314566619413,0.6860618496188481,-0.16500476607975087,0.27578879181039667,-0.08063656298012821,-0.7404526471463236,-0.7837613734966898,-0.5890366578490919,-0.5005507395194405,-0.4614029249783693,0.19347214183741923,-0.7998198564110962,0.7930160940170662,0.8946988726937145,0.8836279895634511,0.770966801511189,0.12638869771049327,-0.15009970335989273,-0.1487062683092604,-0.14971283831428386,-0.31489587030096106,-0.27824168498970275,0.4116248611950898,-0.04638861995897834,-0.3451249214276926
PrincipalStatusOther,0.38543005555209675,0.29253974514028097,0.24226995833280637,0.15929573317839602,0.21570180380222523,0.4973569031178656,-0.4973569031178654,-0.14852049106499746,0.1273588216292938,0.16846963694121098,0.17941572087696603,0.20538929164868588,-0.27642059515054396,-0.0053444855011193695,-0.023696832640127636,1.0,-0.021507335290392747,-0.13204564919358563,-0.34745500244295496,-0.16878136689531617,-0.005022182798831585,0.11109488204251787,0.3281812523782295,-0.0018438126187591704,-0.02901413005709972,-0.1893878984516551,-0.226165469530751,-0.23201063564191993,-0.19646217872085775,-0.1192034297480139,0.09821795576354121,0.37617208226051657,0.20538929164868588,0.33996702018790037,0.06100040406562293,0.008192815328083363,-0.09404784553797792,-0.2298009813520724,-0.13481518680314425,-0.23423987331395504,-0.1536964561914234,-0.03481346584004019,0.052847969933540906,0.11558195967620505,0.1300443212012436,0.4347355736136099,-0.28940028509004495,0.09386689410081517,0.08955918328787695,0.06654025124948482,0.04091037373336171,0.4867196651713175,-0.3173948373175859,-0.3667622285810477,-0.3418732912677297,-0.15808680271258416,-0.1934137209642414,0.2410496254204535,0.1379407417922933,-0.12910555401627863
SocialClassProfessionalWorkers,-0.05090019018431087,-0.22951798689331732,-0.36133598666692884,-0.13160968434950207,-0.16462564844640104,-0.33895547636781365,0.33895547636781337,-0.026246025100697765,0.46197566397418716,-0.5887700084121205,-0.8027778638542902,0.3998969020427775,-0.01791350455251234,0.3256668379114611,-0.6844837080793575,-0.021507335290392747,1.0,0.765710314282177,-0.42236711109652625,-0.8530051489831374,-0.918345568825106,-0.7741011797343641,-0.3771202136759942,-0.6523260071297861,-0.7506036747628888,-0.6941903858201098,-0.5211676222732134,-0.1100493447614755,-0.17781857424760475,0.5581125148789641,0.8797138751974063,-0.13963685696103026,0.3998969020427775,-0.3286567256694833,-0.689755169809402,-0.6848148563514035,-0.7753952660425454,-0.19827911003159102,-0.7196775178714602,-0.4727413485559663,0.39254029637502513,0.8395780684862155,0.9396225196246261,0.8967859234993152,0.8806322944363904,-0.17117260948537058,0.6219508329321336,-0.7973676364428758,-0.5533681165026854,-0.5473450360956279,-0.3240760914269371,-0.08961417888486399,-0.260389783249111,-0.27107085252834456,-0.26605240529335883,0.22534057116272208,-0.18727637151183987,-0.10308689421108537,0.3063141809838677,0.276276734160111
SocialClassManagerialAndTechnical,-0.406065491660497,-0.47268848550389386,-0.5997585741286162,-0.39479702579850134,-0.4498084264158845,-0.4073198988783869,0.407319898878386,0.04879994751050921,0.16667415638670022,-0.7923311591375948,-0.9103493248079249,-0.023828706646010184,0.44223286471222045,0.36541091503722517,-0.7899315422070279,-0.13204564919358563,0.765710314282177,1.0,0.09587998614213245,-0.5308846815965246,-0.8756743926037949,-0.9188534098182601,-0.7954492816402896,-0.7413200280543527,-0.6957605108215087,-0.42728079648009415,-0.019603009670909614,0.45157477011884184,0.3412446469084546,0.7458863368398364,0.491581981366215,-0.028046919267225797,-0.023828706646010184,-0.6305593102617799,-0.814437345921097,-0.7266323341439496,-0.5226955893580134,0.40210831889413856,-0.25793899114482055,0.10307952500447819,0.7773065855929681,0.8287545002715232,0.6321611600282945,0.5038723386517371,0.4520696748838569,-0.5188995837106756,0.8704588648844749,-0.8606177998295594,-0.664398733610361,-0.716130574847416,-0.57035301458475,-0.4601253338275857,0.21484311812728474,0.1966319918071928,0.2064477846718361,0.41739797713906135,0.154077941675889,-0.4907247149645941,0.21488080468043683,0.49368485710777865
SocialClassNonManual,-0.6644231550985251,-0.4923791948700026,-0.34275187352326075,-0.4424259389472003,-0.489016710666179,-0.3435914509558375,0.34359145095583726,0.32363390685989235,-0.504841405840698,-0.33642711534708214,-0.06432396349450208,-0.7856735102516899,0.6388124869500813,0.04937969052132301,0.010484446237007223,-0.34745500244295496,-0.42236711109652625,0.09587998614213245,1.0,0.7201968380349295,0.2852672833322269,-0.07050260570316494,-0.6096245786884782,0.09336907795350646,0.3305189880033054,0.655730806209675,0.8553553249872989,0.7890141233093908,0.6149794582650193,0.01961957546333607,-0.6951671433906303,-0.05455648793081019,-0.7856735102516899,-0.49900960680121526,0.020281052990014082,0.1619500500709156,0.6355477473141733,0.8124467788265943,0.7610348231142842,0.8296997913518861,0.20840321249929666,-0.332122059162263,-0.5710363560774643,-0.6812621355196595,-0.7085333886227542,-0.6259048901771033,0.32388695681009966,-0.0008390452988878043,-0.01656568416855206,-0.12871657512064832,-0.2827033646067976,-0.6861040089602755,0.7994401346267769,0.7934374125168908,0.7980657307333097,0.3074213609870419,0.5859932706082763,-0.6815721799133575,-0.21885232333284044,0.25853713821842883
SocialClassSkilledManual,-0.31314946836765867,-0.1445786680421501,0.02589235231812902,-0.20732168870187162,-0.20148842965281813,-0.04817498489311373,0.04817498489311407,0.16901938809847325,-0.5836164713117481,0.2124628638115083,0.5350632109720398,-0.7236063239836973,0.3343158536581717,-0.15318852209810027,0.5652419336385243,-0.16878136689531617,-0.8530051489831374,-0.5308846815965246,0.7201968380349295,1.0,0.8126567071395098,0.5629137975978076,-0.04914237597522701,0.6210804921654512,0.7815184286405918,0.8604172871915026,0.7811238891594626,0.3803572753808998,0.29717980893516116,-0.45504673575875126,-0.9226024286372009,-0.0192398443570219,-0.7236063239836973,-0.09492467728335525,0.5861324656816395,0.6630763890823614,0.8945105893235035,0.4451521510857636,0.8489763946108791,0.6704427825990963,-0.30293472620791667,-0.812935415856628,-0.9001162939813824,-0.9195329112565439,-0.9074871421991386,-0.21687706921891003,-0.29467206143878577,0.5460663413709869,0.45323510747453244,0.38948510100154726,0.21469569881444353,-0.30365852166651297,0.5581271158948423,0.5699421131441099,0.564907212211628,-0.08464041230374623,0.37588436456501406,-0.2516586519231889,-0.3210955501619897,-0.1199808283788123
SocialClassSemiSkilled,0.04011898090997598,0.16188828012812387,0.355654528716305,0.1458103416285024,0.16681961242761986,0.26085012027718346,-0.26085012027718263,0.017113178255403188,-0.4136634815306907,0.6309237091840713,0.8915471387088678,-0.3878668367030097,-0.11140269639808519,-0.2897384353835236,0.8404453894093838,-0.005022182798831585,-0.918345568825106,-0.8756743926037949,0.2852672833322269,0.8126567071395098,1.0,0.9044020517623403,0.4505086864809366,0.802298245881869,0.8447678837947151,0.7031201769103382,0.4126452680698003,-0.056734667407554604,-0.018800615004991514,-0.6171823890766557,-0.7508308620987868,-0.08339509574669349,-0.3878668367030097,0.36446213761750784,0.8437944475638213,0.8157509744017897,0.7717917379965811,0.006259042112839108,0.628263814319893,0.2593208254576134,-0.6098016899949121,-0.8941307447594996,-0.8376810896570502,-0.7750417666950722,-0.768122865253539,0.1437507440563261,-0.7164283457308084,0.8647378853044967,0.7090657432832116,0.7056606998642245,0.5171700797823731,0.07110815980904434,0.13261059429564298,0.1487696903008573,0.14067786342771252,-0.29764333064493953,0.08197434322189966,0.22826499988477572,-0.29018063884770545,-0.3691942422962382
